X1,X2,Good,Bad
-9.97,-19.93,294.32,429.4
7.51,15.03,109.04,198.18
-2.52,-5.04,-173.61,-35.08
4.92,9.85,-65.99,66.42
6.88,13.77,10.76,155.46
9.18,18.37,208.78,344.75
4.6,9.21,-111.92,43.7
0.77,1.54,-225.06,-79.74
6.77,13.54,6.64,124.73
9.92,19.84,302.32,394.38
-6.88,-13.76,65.14,169.69
7.29,14.57,58.95,147.61
-1.74,-3.48,-175.17,-90.36
0.67,1.33,-197.75,-63.6
-9.74,-19.48,265.03,407.41
-7.37,-14.74,88.54,201.31
-2.7,-5.4,-142.46,-38.05
2.27,4.55,-166.73,-42.89
-2.58,-5.17,-190.87,-48.61
-9.25,-18.5,231.16,326.97
-2.36,-4.72,-143.52,-72.72
-3.29,-6.58,-122.68,-16.22
9.04,18.08,198.58,335.67
7.22,14.44,83.12,147.55
5.83,11.66,-4.55,99.94
4.56,9.11,-78.69,51.48
-7.34,-14.69,84.63,208.98
1.65,3.3,-214.59,-63.61
6.43,12.86,29.21,153.72
-8.09,-16.18,117.37,265.87
0.65,1.3,-181.15,-112.73
-5.14,-10.27,-73.51,14.94
-6.97,-13.95,22.76,135.48
-0.17,-0.33,-170.03,-115.41
-5.57,-11.15,-18.58,64.83
-1.08,-2.16,-166.53,-57.32
-9.32,-18.63,205.91,336.02
-0.55,-1.09,-199.5,-89.95
-8.42,-16.85,173.93,259.29
-1.92,-3.84,-210.9,-70.54
5.49,10.99,-20.47,61.18
5.87,11.75,-11.07,78.31
-3.31,-6.63,-149.67,-4.04
-1.1,-2.2,-171.36,-109.07
6.79,13.59,44.52,160.29
-6.02,-12.04,-15.35,124.75
6.39,12.79,31.61,98.96
-2.42,-4.84,-187.99,-84.39
-2.28,-4.56,-194.86,-35.57
9.3,18.59,249.42,324.66
9.34,18.68,227.44,330.9
2.58,5.15,-172.36,-30.75
-0.3,-0.6,-189.74,-100.68
-3.01,-6.01,-166.58,-10.19
-8.39,-16.79,177.09,245.18
0.8,1.61,-214.95,-65.25
6.52,13.05,-3.54,98.47
2.21,4.42,-153.13,-49.24
8.32,16.64,164.18,288.42
5.34,10.68,-52.37,47.76
-6.41,-12.81,25.87,121.23
4.75,9.5,-59.48,10.89
-8.02,-16.05,107.79,218.29
-7.07,-14.14,58.85,181.27
-1.98,-3.96,-150.38,-83.59
1.36,2.72,-181.09,-92.64
-1.83,-3.66,-189.69,-84.76
9.28,18.56,212.99,373.51
-4.88,-9.75,-91.09,40.77
-1.36,-2.73,-178.55,-101.26
-0.66,-1.32,-223.72,-68.46
-9.61,-19.22,277.16,397.13
7.06,14.12,65.56,189.26
9.76,19.51,279.59,401.91
7.12,14.24,47.05,172.75
-2.08,-4.15,-179.69,-52.78
9.09,18.18,230.02,293.28
-1.92,-3.84,-162.13,-46.76
-6.04,-12.09,-7.26,74.1
-3.13,-6.25,-162.7,-49.81
9.2,18.4,232.95,369.21
0.83,1.66,-182.3,-102.13
-5.36,-10.71,-37.89,26.41
-6.49,-12.98,-13.11,139.43
6.65,13.31,-8.21,167.62
-4.09,-8.17,-123.14,8.98
-1.69,-3.38,-199.29,-79.46
1.86,3.73,-170.9,-63.43
5.13,10.27,-47.98,77.29
5.05,10.11,-92.87,65.67
-8.42,-16.84,149.11,285.87
-3.23,-6.47,-121.26,-51.89
6.04,12.09,6.92,65.88
-3.7,-7.41,-113.19,16.71
3.46,6.93,-156.74,-37.56
1.64,3.29,-205.59,-57.99
-2.33,-4.67,-189.8,-61.87
-0.89,-1.79,-219.89,-68.96
-7.33,-14.67,86,153.11
9.16,18.31,229.16,306.64
