X1,X2,Z1 =(x1^2 + X2^2),Good,Bad
-9.97,-19.93,496.71,294.32,429.4
7.51,15.03,282.25,109.04,198.18
-2.52,-5.04,31.75,-173.61,-35.08
4.92,9.85,121.18,-65.99,66.42
6.88,13.77,236.87,10.76,155.46
9.18,18.37,421.72,208.78,344.75
4.6,9.21,106,-111.92,43.7
0.77,1.54,2.98,-225.06,-79.74
6.77,13.54,229.04,6.64,124.73
9.92,19.84,492.28,302.32,394.38
-6.88,-13.76,236.57,65.14,169.69
7.29,14.57,265.45,58.95,147.61
-1.74,-3.48,15.14,-175.17,-90.36
0.67,1.33,2.22,-197.75,-63.6
-9.74,-19.48,474.34,265.03,407.41
-7.37,-14.74,271.67,88.54,201.31
-2.7,-5.4,36.4,-142.46,-38.05
2.27,4.55,25.83,-166.73,-42.89
-2.58,-5.17,33.39,-190.87,-48.61
-9.25,-18.5,427.69,231.16,326.97
-2.36,-4.72,27.85,-143.52,-72.72
-3.29,-6.58,54.15,-122.68,-16.22
9.04,18.08,408.54,198.58,335.67
7.22,14.44,260.58,83.12,147.55
5.83,11.66,169.98,-4.55,99.94
4.56,9.11,103.82,-78.69,51.48
-7.34,-14.69,269.65,84.63,208.98
1.65,3.3,13.57,-214.59,-63.61
6.43,12.86,206.88,29.21,153.72
-8.09,-16.18,327.15,117.37,265.87
0.65,1.3,2.12,-181.15,-112.73
-5.14,-10.27,131.89,-73.51,14.94
-6.97,-13.95,243.13,22.76,135.48
-0.17,-0.33,0.14,-170.03,-115.41
-5.57,-11.15,155.29,-18.58,64.83
-1.08,-2.16,5.83,-166.53,-57.32
-9.32,-18.63,433.86,205.91,336.02
-0.55,-1.09,1.5,-199.5,-89.95
-8.42,-16.85,354.77,173.93,259.29
-1.92,-3.84,18.48,-210.9,-70.54
5.49,10.99,150.97,-20.47,61.18
5.87,11.75,172.48,-11.07,78.31
-3.31,-6.63,54.91,-149.67,-4.04
-1.1,-2.2,6.03,-171.36,-109.07
6.79,13.59,230.81,44.52,160.29
-6.02,-12.04,181.26,-15.35,124.75
6.39,12.79,204.45,31.61,98.96
-2.42,-4.84,29.34,-187.99,-84.39
-2.28,-4.56,26.02,-194.86,-35.57
9.3,18.59,431.99,249.42,324.66
9.34,18.68,436.08,227.44,330.9
2.58,5.15,33.2,-172.36,-30.75
-0.3,-0.6,0.45,-189.74,-100.68
-3.01,-6.01,45.17,-166.58,-10.19
-8.39,-16.79,352.2,177.09,245.18
0.8,1.61,3.22,-214.95,-65.25
6.52,13.05,212.73,-3.54,98.47
2.21,4.42,24.42,-153.13,-49.24
8.32,16.64,346.24,164.18,288.42
5.34,10.68,142.7,-52.37,47.76
-6.41,-12.81,205.19,25.87,121.23
4.75,9.5,112.82,-59.48,10.89
-8.02,-16.05,321.89,107.79,218.29
-7.07,-14.14,249.9,58.85,181.27
-1.98,-3.96,19.65,-150.38,-83.59
1.36,2.72,9.23,-181.09,-92.64
-1.83,-3.66,16.7,-189.69,-84.76
9.28,18.56,430.74,212.99,373.51
-4.88,-9.75,118.93,-91.09,40.77
-1.36,-2.73,9.28,-178.55,-101.26
-0.66,-1.32,2.16,-223.72,-68.46
-9.61,-19.22,461.99,277.16,397.13
7.06,14.12,249.21,65.56,189.26
9.76,19.51,475.94,279.59,401.91
7.12,14.24,253.36,47.05,172.75
-2.08,-4.15,21.55,-179.69,-52.78
9.09,18.18,413.08,230.02,293.28
-1.92,-3.84,18.47,-162.13,-46.76
-6.04,-12.09,182.62,-7.26,74.1
-3.13,-6.25,48.9,-162.7,-49.81
9.2,18.4,423.01,232.95,369.21
0.83,1.66,3.43,-182.3,-102.13
-5.36,-10.71,143.42,-37.89,26.41
-6.49,-12.98,210.51,-13.11,139.43
6.65,13.31,221.38,-8.21,167.62
-4.09,-8.17,83.46,-123.14,8.98
-1.69,-3.38,14.27,-199.29,-79.46
1.86,3.73,17.39,-170.9,-63.43
5.13,10.27,131.73,-47.98,77.29
5.05,10.11,127.69,-92.87,65.67
-8.42,-16.84,354.67,149.11,285.87
-3.23,-6.47,52.28,-121.26,-51.89
6.04,12.09,182.59,6.92,65.88
-3.7,-7.41,68.55,-113.19,16.71
3.46,6.93,59.98,-156.74,-37.56
1.64,3.29,13.52,-205.59,-57.99
-2.33,-4.67,27.23,-189.8,-61.87
-0.89,-1.79,4,-219.89,-68.96
-7.33,-14.67,268.98,86,153.11
9.16,18.31,419.2,229.16,306.64
