00DSEX,01-01-2019,5385.64,5474.50,5385.64,5465.25,53017420,,
00DS30,01-01-2019,1880.78,1911.37,1880.78,1908.20,53017420,,
00DSES,01-01-2019,1232.82,1247.50,1232.82,1245.80,53017420,,
DSEX,01-01-2019,5385.64,5474.50,5385.64,5465.25,53017420,,
DS30,01-01-2019,1880.78,1911.37,1880.78,1908.20,53017420,,
DSES,01-01-2019,1232.82,1247.50,1232.82,1245.80,53017420,,
1JANATAMF,01-01-2019,4.5,4.6,4.4,4.5,56916,,
1STPRIMFMF,01-01-2019,10.8,10.9,10.7,10.8,364849,,
AAMRANET,01-01-2019,59.8,60.7,58.8,60.4,137043,,
AAMRATECH,01-01-2019,29.1,29.4,28.8,29.1,148772,,
ABB1STMF,01-01-2019,4.5,4.6,4.5,4.5,258325,,
ABBANK,01-01-2019,12,12.1,11.8,11.9,208373,,
ACFL,01-01-2019,42.9,44.6,42.5,44.1,309105,,
ACI,01-01-2019,329.9,329.9,325.6,327.6,9890,,
ACIFORMULA,01-01-2019,154,154.9,153,154.3,12415,,
ACMELAB,01-01-2019,87.8,87.8,84.3,84.5,119233,,
ACTIVEFINE,01-01-2019,28.4,29.4,28,29,945820,,
ADVENT,01-01-2019,41,41.4,38.5,40,1183532,,
AFCAGRO,01-01-2019,31.5,32.2,31.5,31.9,134382,,
AFTABAUTO,01-01-2019,46.2,46.7,45.5,46.6,100857,,
AGNISYSL,01-01-2019,21.3,21.5,20.8,21.1,822512,,
AGRANINS,01-01-2019,17.3,17.9,17.2,17.6,40837,,
AIL,01-01-2019,65,66.9,64,66.4,284434,,
ALARABANK,01-01-2019,20,20.4,19.9,20.3,133679,,
AL-HAJTEX,01-01-2019,89.3,91.3,88.5,90.8,168070,,
ALIF,01-01-2019,9.2,9.5,9.2,9.5,736630,,
ALLTEX,01-01-2019,13.2,14.1,12.9,14.1,507972,,
AMANFEED,01-01-2019,47.5,48.8,47.5,48.5,253179,,
AMBEEPHA,01-01-2019,770.1,788,750.1,756.3,17410,,
AMCL(PRAN),01-01-2019,237.1,240,235.7,236.3,3889,,
ANLIMAYARN,01-01-2019,41,42.4,40.6,41,497167,,
ANWARGALV,01-01-2019,72.7,73.6,72.1,72.6,67632,,
